tag,komentarz,timestamp
giełda,"Tu był komentarz o koncie OKI, ale jednak muszę dokładnie przeczytać projekt ustawy, bo nie rozumiem do końca jak to działa :D Teraz znowu wydaje mi się, że zwolnione z podatku będą faktycznie głównie inwestycje krajowe. Powiem o tym w przyszłych odcinkach.
Ja tu mówiłem głównie o polskim rynku akcji, a XTB przygotowało taki szerszy raport o sytuacji makro w 2026. Jeżeli ktoś ma ochotę to link do pobrania tutaj: https://geolink.xtb.com/1Qfyb",2025-12-07 04:49:50
giełda,"Sądzę po głosie ,że mentor jest w zbyt młodym wieku ,żeby cokolwiek widzieć o rynku . No chyba ,że się mylę i mentor jest na rynku od początku 21 wieku. Pytanie też czy mentor utrzymuje się z inwestycji i tradingu ,czy tak jak reszta miernot z subskr i reklam . Na logikę w sumie ....jeśli ktoś zarabia na rynku, nie nagrywa różnych bzdur .",2025-12-07 04:49:50
giełda,Gdzie inwestowanie 500,2025-12-07 04:49:50
giełda,"to prawda co mowisz z tym ze polskie spolki sa dobrze wycenianie dopiero po jakims czasie, zastanawia mnie czy inpost ktory nawiazal wspolprace z ebayem w uk chociaz troche odbije bo to nie maly rynek jedak",2025-12-07 04:49:50
giełda,Dzięki za materiał!,2025-12-07 04:49:50
giełda,😊❤,2025-12-07 04:49:50
giełda,mWIG80? Kupiłem w piątek.,2025-12-07 04:49:50
giełda,halo kiedy inwestowanie 500zl odbiUr,2025-12-07 04:49:50
giełda,Ciekawe,2025-12-07 04:49:50
giełda,Digital Network coś mocno zanurkował po tym Walnym....,2025-12-07 04:49:50
giełda,"2 argumenty przeciwne:
OKI będzie skażone od razu narracją polityczną - będzie legenda o rekordowym deficycie i rządzie tu$$ka, który po raz kolejny chce zagrabić majątki Polaków
Kapitalizacja GPW to ok 2 biliony PLN (dwa tysiące miliardów),  obecnie jest ~milion rachunków IKE, na których ludzie mają ok 27mld PLN. 10 miliardów złotych to sto tysięcy ludzi ładujących w giełdę sto tysięcy złotych - może jest to możliwe, ale tylko w jakimś bankowym opakowaniu, może TFI, tylko że takie rzeczy dla mas brzmią jak amber gold.",2025-12-07 04:49:50
giełda,Nie masz już nieinwestujących znajomych? Uważaj bo po zmianie trendu zaczniesz mieć kłopoty z tymi inwestującymi. Założę się że z fumfla staniesz głównym sprawcą ich przyszłych strat...:),2025-12-07 04:49:50
