section_code,section_name,market_score,gus_score,ceidg_score,social_score,final_score
,Pozostałe,100,,,,100
F,Budownictwo,74,49.75,100,,74.58
K,Finanse,97,,36,,66.5
R,"Działalność związana z kulturą, rozrywką i rekreacją",,100,27,,63.5
I,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,,100,15,,57.5
N,Działalność w zakresie usług administrowania i działalność wspierająca,,53.95,57,,55.48
Q,Opieka Zdrowotna,76,69.39,20,,55.13
G,Handel,78,25.4,57,53.96,53.59
D,Energetyka,62,83.41,0,53.65,49.77
S,Pozostała działalność usługowa,,81.54,5,,43.27
J,IT i Media,80,40.97,4,47.64,43.15
C,Przetwórstwo,71,21.41,30,,40.8
M,Nauka,60,57.33,4,,40.44
T,Nieznana sekcja,,,39,,39
H,Transport i gospodarka magazynowa,,47.19,30,37.59,38.26
L,Nieruchomości,76,28.54,8,35.72,37.06
O,Nieznana sekcja,,,30,,30
P,Edukacja,,23.25,,,23.25
E,Dostawa wody; gospodarowanie ściekami i odpadami; działalność związana z rekultywacją,,28.16,0,,14.08
B,Górnictwo i wydobywanie,,10.02,,,10.02
A,Nieznana sekcja,,,1,,1
